C”DIGO;GRUPO/FAMILIA (Abrev.);Nome do produto;Bitola;Unidade;PreÁo Unit·rio;Cobre_kg;Aluminio_kg;PVC_kg;Skin_kg;Embalagem_kg;Peso_Total_kg;ObservaÁ„o;PVC_HEPR;Capa_PP_kg;PVC_Atox_kg;PVC_Emb_kg;Etiqueta_un
PP048B;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO DE CONTROLE PP 2X2,5MM PRETO 1KV MAXFIO METRO (BOBINA);2X2,5;M;4,925710526;3,6;0.0;6,2;0.0;0.0;9,8;;0.0;0.0;0.0;0.0;0.0
PP049B;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO DE CONTROLE PP 2X1,0MM PRETO 1KV MAXFIO METRO (BOBINA);2X1,0;M;1,734589474;1,2;0.0;2,64;0.0;0.0;3,84;;0.0;0.0;0.0;0.0;0.0
PP068B;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO DE CONTROLE PP 2X4,0MM PRETO 1KV MAXFIO METRO (BOBINA);2X4,0;M;8,075197368;6;0.0;9,5;0.0;0.0;15,5;;0.0;0.0;0.0;0.0;0.0
PP091B;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO DE CONTROLE 4X16,0MM PRETO MAXFIO HEPR 1KV METRO;4X16,0;M;57,22631579;48;0.0;30;0.0;0.0;78;;0.0;0.0;0.0;0.0;0.0
PP069B;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO DE CONTROLE PP 4X2,5MM PRETO 1KV MAXFIO METRO (BOBINA);4X2,5;M;9,385723684;7,2;0.0;9,5;0.0;0.0;16,7;;0.0;0.0;0.0;0.0;0.0
PP081B;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO DE CONTROLE PP 5X1,5MM BRANCO 1KV MAXFIO METRO (BOBINA);5X1,5;M;7,702407895;5,6;0.0;9,9;0.0;0.0;15,5;;0.0;0.0;0.0;0.0;0.0
PP082B;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO DE CONTROLE PP 4X1,5MM BRANCO 1KV MAXFIO METRO (BOBINA);4X1,5;M;6,233245614;4,533333333;0.0;8;0.0;0.0;12,53333333;;0.0;0.0;0.0;0.0;0.0
PP084B;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO DE CONTROLE PP 3X1,5MM BRANCO 1KV MAXFIO METRO (BOBINA);3X1,5;M;4,835394737;3,4;0.0;7;0.0;0.0;10,4;;0.0;0.0;0.0;0.0;0.0
PP085B;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO DE CONTROLE PP 2X10,0MM PRETO 1KV MAXFIO METRO (BOBINA);2X10,0;M;19,68032895;15,6;0.0;16,5;0.0;0.0;32,1;;0.0;0.0;0.0;0.0;0.0
PP086B;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO DE CONTROLE PP 3X1,0MM PRETO 1KV MAXFIO METRO (BOBINA);3X1,0;M;2,601226316;1,8;0.0;3,96;0.0;0.0;5,76;;0.0;0.0;0.0;0.0;0.0
PP070B;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO DE CONTROLE PP 4X10,0MM PRETO 1KV MAXFIO METRO (BOBINA);4X10,0;M;37,99118421;32;0.0;19;0.0;0.0;51;;0.0;0.0;0.0;0.0;0.0
PP027B;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO DE CONTROLE PP 4X6,0MM PRETO 1KV MAXFIO METRO (BOBINA);4X6,0;M;23,31342105;19;0.0;16;0.0;0.0;35;;0.0;0.0;0.0;0.0;0.0
PP028B;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO DE CONTROLE PP 3X6,0MM PRETO 1KV MAXFIO METRO (BOBINA);3X6,0;M;17,37986842;14,3;0.0;11;0.0;0.0;25,3;;0.0;0.0;0.0;0.0;0.0
PP031B;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO DE CONTROLE PP 3X10,0MM PRETO 1KV MAXFIO METRO (BOBINA);3X10,0;M;28,69388158;24;0.0;15,5;0.0;0.0;39,5;;0.0;0.0;0.0;0.0;0.0
PP054B;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO DE CONTROLE PP 2X6,0MM PRETO 1KV MAXFIO METRO (BOBINA);2X6,0;M;12,05257237;9,4;0.0;11,15;0.0;0.0;20,55;;0.0;0.0;0.0;0.0;0.0
PP055B;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO DE CONTROLE PP 3X1,5MM PRETO 1KV MAXFIO METRO (BOBINA);3X1,5;M;4,835394737;3,4;0.0;7;0.0;0.0;10,4;;0.0;0.0;0.0;0.0;0.0
PP087B;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO DE CONTROLE PP 5X1,0MM PRETO 1KV MAXFIO METRO (BOBINA);5X1,0;M;4,3345;3;0.0;6,6;0.0;0.0;9,6;;0.0;0.0;0.0;0.0;0.0
PP088B;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO DE CONTROLE PP 4X1,0MM PRETO 1KV MAXFIO METRO (BOBINA);4X1,0;M;3,467863158;2,4;0.0;5,28;0.0;0.0;7,68;;0.0;0.0;0.0;0.0;0.0
PP100B;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO DE CONTROLE PP 6X1,0MM BRANCO 1KV MAXFIO METRO (BOBINA);6X1,0;M;5,422118421;3,6;0.0;9,3;0.0;0.0;12,9;;0.0;0.0;0.0;0.0;0.0
PRODUTOS N√O CADASTRADOS - PRODUTOS SEM FICHA T…CNICA ;;;;;;;;;;;;;;;;;
K117;CABO ELETRICO LINHA1 (MAXFIO);CABO ELETRICO FLEX HEPR 2,5MM ATOX†PRETO†1KV†90∫;2,5;M;#N/D;#N/D;0.0;#N/D;0.0;0,0133;#N/D;;0.0;0.0;0.0;0.0;0.0
